"","treatment_class","variable","N","value","sd","se","ci"
"266","POX_1.5","Stat.LSpkF",5,110.12818007,21.7090916792711,9.70860094492505,26.9553975718558
"267","POX_1.5","Stat.LSpkT",5,497.852,287.82803671637,128.720611185622,357.385710864388
"268","POX_1.5","Stat.mSfr",5,19.9252920334,17.7198350677882,7.9245511523318,22.0020812577811
"269","POX_1.5","Stat.slp",5,-195.38549591,78.2328967054637,34.9868150220272,97.1389713143681
"270","POX_1.5","Stat.spkNum",5,16.533333334,14.5689929489233,6.51545171950154,18.0897940347626
"271","POX_1.5","Thr.F",5,41.439388684,22.5700582702351,10.0936369096754,28.024428791512
"272","POX_1.5","Thr.F1",5,49.0099636,15.3152906548918,6.84920619990108,19.0164450282057
"273","POX_1.5","Thr.F3",5,78.0099796,41.5664759715286,18.5890931714899,51.6115967460488
"274","POX_1.5","Thr.L",5,1.37752,0.728760247309686,0.325911490456803,0.904875362406509
"275","POX_1.5","Thr.L1",5,1.694534,0.346696412704977,0.15504734927273,0.430480453962164
"276","POX_1.5","Thr.L3",5,2.332458,0.417964414004948,0.186919368378186,0.518971365400278
"277","POX_1.5","Thr.T",5,112.0616,112.569948551112,50.3428114367881,139.774052395566
"278","POX_1.5","Thr.T1",5,419.7704,87.5699834235453,39.1624871447154,108.732495740317
"279","POX_1.5","Thr.T3",5,585.552,105.378248229888,47.1265852783755,130.844377020832
"280","POX_Ia","Dyn.DI",10,108.85109956,37.6169324340927,11.8955185080395,26.9095323981601
"281","POX_Ia","Dyn.F",10,150.6348354,25.1255140457948,7.94538517672637,17.9737099887222
"282","POX_Ia","Dyn.IB",10,76.1235292,161.850927477061,51.1817572238241,115.781178708472
"283","POX_Ia","Dyn.IFRdrop",10,82.522643,26.5931341565185,8.4094874057019,19.0235821702699
"284","POX_Ia","Dyn.pfr",10,134.27397855,13.3055906114218,4.20759719458453,9.51824613189902
"285","POX_Ia","Dyn.pfr1",10,107.6175579,24.6402401933216,7.7919281104524,17.6265659870686
"286","POX_Ia","Dyn.pfr3",10,99.1535827,19.3672242761112,6.1244540667817,13.8544776353988
"287","POX_Ia","Dyn.RDR",10,14.1,4.653553003411,1.47158267030961,3.32895127829059
"288","POX_Ia","Dyn.slp",10,1373.12246919,559.971796181176,177.078630138809,400.579691547001
"289","POX_Ia","Dyn.slp1",10,160.040124,99.8534382511702,31.5764297072678,71.43084663789
"290","POX_Ia","Dyn.slp3",10,250.5585426,107.541019139007,34.0074562375023,76.9302107162124
"291","POX_Ia","Dyn.spkNum",10,9.9,2.84604989415154,0.9,2.03594144651838
"292","POX_Ia","Dyn.spkNum1",10,35.6,11.9275591244255,3.77182537595084,8.53246179103122
"293","POX_Ia","Dyn.spkNum3",10,21.5,7.91973624701115,2.50444050083491,5.66543801776562
