Afferenet,animal,cell,treatment,treatment_text,treatment_class,Cancer,Chemotherapy,note,#NAME?,autoClass,manualClass,Trial#,TrigStart.R,ms.F,Dyn.pfr,Stat.mSfr,Stat.afr,Stat.HzSTD,Stat.HzEnd,Dyn.IB,Thr.T,Thr.F,Thr.L,Stat.LSpkT,Stat.LSpkF,Dyn.spkNum,Stat.spkNum,Dyn.DI,Dyn.slp,Stat.slp,,TrigStart.Tri,ms.F1,Dyn.F,Dyn.pfr1,Dyn.pfr3,Thr.T1,Thr.F1,Thr.L1,Thr.T3,Thr.F3,Thr.L3,Dyn.slp1,Dyn.slp3,Dyn.spkNum1,Dyn.spkNum3,Dyn.RDR,Dyn.IFRdrop
A17024-17-17 aff 1,A17024-17-17,aff 1,4,POX,POX_Ib,1,1,,,Ib,Ib,,57.246,11.29352025,46.771873,2.60146975,25.515493,21.858131,0.20652425,0,107.42,73.28388975,2.14582625,458.688,115.3638173,1.75,5,32.477435,219,-176.7357728,,200.609,19.837119,288.513184,53.282182,49.13522,484.748,94.301043,1.959277,523.56,98.419223,2.073336,158.80045,88.867827,11,7,4,52.469745
A17024-17-17 aff 2,A17024-17-17,aff 2,4,POX,POX_Ib,1,1,,,Ib,II,,63.326,11.713885,35.796105,6.617958,13.488298,9.606154,0.225679,0,7.572,8.027355,0.149686,781.024,129.730011,4,7,29.178147,451.753657,-29.84652,,332.859,11.462112,165.065217,28.617216,26.404732,352.108,35.531808,1.430599,334.952,28.875102,1.318599,72.941026,58.850817,9,7,2,25.160819
A17024-17-17 aff 3,A17024-17-17,aff 3,4,POX,POX_Ib,1,1,,,Ib,Ib,,60.155,11.29285367,86.80083633,0.189990667,99.01494233,31.33132833,0.189990667,0,114.172,85.82473533,2.273832333,51.656,147.35439,2,2,86.610846,1998,-31.5786685,,285.627,11.110039,166.543138,63.131313,0.663609,729.196,143.677049,2.94502,755.96,150.437181,3.014295,398,0,2,0,2,62.457444
A17024-17-17 aff 8,A17024-17-17,aff 8,4,POX,POX_Ib,1,1,,,Ib,Ib,,44.751,12.015562,0,0.14076625,0.16245925,0,0.14076625,0,153.848,170.0830683,3.006646,27.348,170.0830683,0,1,0,0,0,,230.194,20.759897,307.569957,67.421791,58.520599,695.892,233.471627,2.811547,721.936,240.406389,2.874184,126,160,3,2,1,19.965451
A17024-17-18 aff 1,A17024-17-18,aff 1,4,POX,POX_Ib,1,1,,,Ib,Ib,,45.4725,12.4773755,105,69,68,15,64.07800675,0,118,61.37679825,1.91,989,121.212204,4,68,38.1067885,511,-36.053275,,204.536,12.557112,167.805994,85.38,82.12,522.02,66.223533,2.082488,584.256,75.696332,2.316176,680.81548,460.986527,11,9,3,42.514873
A17024-17-18 aff 10,A17024-17-18,aff 10,4,POX,POX_Ib,1,1,,,Ib,II,,38.1265,12.632088,30.68238,46.399,74.67589,20.45344175,26.10693,0,123.656,118.47,1.9829,985,132.7020068,1,53,0,350,-55.09679675,,162.885,20.411149,297.06974,116.38,112.0072,395,49.294391,1.598,531.6,70.027938,2.1211,255.487274,457.932291,24,16,8,104.87089
A17024-17-18 aff 2,A17024-17-18,aff 2,4,POX,POX_Ib,1,1,,,Ib,Ib,,49.0505,11.41707925,123.8461188,56.52690475,66.94458125,23.67832925,47.196934,0,76.8,44.17589875,1.5276965,984.844,119.327977,5,58.75,67.31921375,225,-62.62424475,,210.124,11.852964,162.98784,103.648425,98.736177,529.284,66.609667,2.135497,577.168,72.062866,2.283965,314.538375,385.968309,18,14,4,31.784558
A17024-17-18 aff 5,A17024-17-18,aff 5,4,POX,POX_Ib,1,1,,,Ib,II,,141.245,11.675469,0.24982675,0.18866125,62.84757575,16.37524733,0.18866125,0,125.472,114.8672425,2.50280425,29.692,169.9586118,1,1,0.0611655,0,0,,306.816,30.86066,470.518589,20.08649,19.73,709,142.065743,2.994327,723.102,245.409389,2.761671,307.838523,292.243749,2,2,0,89.31808
A17024-17-19 aff 3,A17024-17-19,aff 3,4,POX,POX_Ib,1,1,,,Ib,Ib,,32.093,10.7499525,69.18710533,0.191834,67.421791,0,0.191834,0,6.852,8.94884125,0.13017275,4.816,82.8426735,3.25,0,51.69849475,478.1627938,0,,131.958,30.311817,298.008513,0,1.271178,557.812,142.264598,2.269993,721.664,231.765395,2.872257,0,0,1,1,0,0
A17024-17-21 aff 1,A17024-17-21,aff 1,4,POX,POX_Ib,1,1,,,Ib,Ib,,126.46,11.39708075,0,0.1877035,0.22109,0,0.1877035,0,145.816,160.986547,2.90387775,14.1055,160.986547,0,0,0,0,0,,266.688,16.855141,266.6237235,44.2961455,38.3914385,547.636,109.5334085,2.2163675,624.8,138.2092745,2.490683,221.816381,336.77837,8,4,4,42.134678
A17024-17-21 aff 4,A17024-17-21,aff 4,4,POX,POX_Ib,1,1,,,Ib,II,,59.07,12.02483175,72.6046225,0.1908915,61.86798625,16.2760365,0.1908915,0,84.188,58.45642225,1.6730625,49.008,180.0196855,3,1,72.4137305,172,-322.51994,,284.026,12.418485,201.004028,39.457071,34.780189,625.044,116.63115,2.532859,670.096,129.179692,2.678581,278.052741,421.511163,5,3,2,38.738878
A17024-18-39-cell 1,A17024-18-39,-cell 1,3,Pirc,Pirc_Ib,1,0,,,Ib,Ib,,55.3045,18.991837,59.52836567,18.440504,28.3446855,15.04695575,2.50618825,0,96.085,73.4208405,1.94376225,952.925,128.2385825,2,19.5,26.20577025,2218.323855,-49.203393,,135.252,29.102614,299.336028,58.479532,48.03074,507.46,110.204551,2.038058,499.82,95.116291,1.982601,212.321305,178.680019,11,9,2,15.744489
A17024-18-39-cell 9,A17024-18-39,-cell 9,3,Pirc,Pirc_Ib,1,0,,,Ib,Ib,,38.4255,10.4876615,79.74756825,52.83222425,57.55957075,14.510077,46.691569,0,45.14,29.878617,0.92734125,987.105,101.855781,6,54,26.9153445,893.798827,-25.907124,,181.812,20.981583,254.089355,99.800399,92.081031,250.6,38.060966,1.009309,376.28,53.711888,1.480325,138.564855,185.900019,32,23,9,21.553138
A17024-18-40-cell 19,A17024-18-40,-cell 19,3,Pirc,Pirc_Ib,1,0,,,Ib,Ib,,36.8265,12.013017,151.425678,93.6119255,100.7611423,20.45526475,85.1701225,0,101.045,78.68020025,2.04649125,998.745,122.1545523,4,95.25,57.81375225,5110.050848,-52.7135995,,131.355,29.993593,378.229785,241.545894,225.225225,353.98,72.03951,1.426844,380.36,72.688854,1.496945,430.567749,435.772883,59,52,7,7.718432
A17024-18-40-cell 4,A17024-18-40,-cell 4,3,Pirc,Pirc_Ib,1,0,,,Ib,Ib,,26.7105,29.9363145,51.2689325,32.27873625,35.06980925,9.3004085,17.1900735,0,113.795,189.2290048,2.289191,995.445,277.5191358,1,31.5,18.99019625,0,-26.4278835,,125.462,30.473956,409.908485,60.606061,51.282051,555.2,175.595275,2.238206,619.26,210.815946,2.463825,277.379169,358.419912,8,5,3,14.180805
A17024-18-40-cell 6,A17024-18-40,-cell 6,3,Pirc,Pirc_Ib,1,0,,,Ib,Ib,,58.7895,20.189783,121.6707085,66.27975625,72.656788,17.3698065,57.64180925,0,55.1,47.82306075,1.12716675,997.575,196.448508,6.25,68,55.390952,1466.011519,-44.57332025,,127.858,29.759609,405.260372,141.242938,131.233596,248.52,46.478385,1.013695,395.44,79.50567,1.557842,247.209765,337.991569,39,27,12,27.087687
A17024-18-40-cell 8,A17024-18-40,-cell 8,3,Pirc,Pirc_Ib,1,0,,,Ib,Ib,,59.2725,12.1382745,108.9371155,68.451722,72.7218655,12.9004245,59.80152575,0,66.8,43.86917325,1.36119425,997.665,120.964691,5,69,40.48539375,1611.939503,-34.6658965,,154.04,29.533051,383.289146,154.320988,140.056022,250.94,44.953091,1.016438,349.98,61.908997,1.375558,242.62556,281.749734,47,36,11,14.504525
A17024-18-42-cell 3,A17024-18-42,-cell 3,1,WT,WT_Ib,0,0,,,Ib,Ib,,65.5985,21.1204775,128.337025,64.701525,75.716965,26.4193975,54.2811675,0,103.695,85.903645,2.064933,991.105,123.37505,5,67,63.635495,4494.15675,-66.825075,,151.832,30.1561,329.5942,191.5709,187.2659,354.62,71.11407,1.492826,458.34,89.67989,1.815177,313.4859,380.4626,42,32,10,11.43864
A17024-18-42-cell 4,A17024-18-42,-cell 4,1,WT,WT_Ib,0,0,,,Ib,Ib,,47.7975,19.0537775,127.328825,61.227365,70.37218,21.2958325,46.8075025,0,9.605,12.1147225,0.18225475,990.225,114.828475,9,63.25,66.101485,1050.12225,-60.385675,,158.405,21.0062,223.9598,127.2265,120.7729,15.68,9.127489,0.083144,431.34,59.76294,1.701527,213.9713,279.8827,37,26,11,17.08818
A17024-18-53-cell 3,A17024-18-53,-cell 3,1,WT,WT_Ib,0,0,Shit took from all over record,,Ib,Ib,,78.568,19.2602475,83.35017,28.49936175,52.426935,39.6883675,7.781638,0,73,52.472895,1.447421,950.45,128.60345,3.75,33.25,34.0132675,1649.4552,-58.97,,122.075,28.97217,308.4571,225.2252,88.65248,486.32,99.45403,1.961102,508.38,99.7844,2.013534,-384.11,228.6775,14,5,9,69.21186
